,WellName,unique_core_descriptions.csv,unique_core_photos.csv,unique_discovery.csv,unique_GEOLINK.csv,unique_Norwegian_shows_v2.csv,unique_public_core_images_excel_recording.csv,unique_RealLogs_Por_Perm.csv,unique_RealLogs_completion.csv,unique_stratigraphic_picks.csv,Occurances
1421,34_3_1S_T2,0,0,0,0,0,0,1,0,0,2
1422,6407_2_6,0,0,1,0,0,0,1,0,0,4
1423,6506_11_6,0,0,0,0,0,0,1,0,0,2
1424,6506_11_7,0,0,1,0,0,0,1,0,0,4
1425,15_9_21,0,0,0,0,1,0,0,0,1,4
1426,34_6_4,0,0,0,0,0,0,0,0,1,2
1427,30_8_1,0,0,1,0,0,0,1,0,1,6
1428,31_8_1,0,0,0,0,0,0,0,0,1,2
1429,25_8_10,0,0,1,0,0,0,0,0,1,4
1430,6407_6_6,0,0,1,0,0,0,1,0,0,4
1431,9_2_4,0,0,0,0,0,0,0,0,1,2
1432,25_11_10,0,0,0,0,0,0,0,0,1,2
1433,33_9_11,0,0,0,1,0,0,0,0,1,4
1434,2_7_19,0,0,1,0,1,0,0,0,0,4
1435,33_9_C_37,0,0,0,0,0,0,1,0,0,2
1436,33_9_A_32A,0,0,0,0,0,0,1,0,0,2
1437,34_7_21,0,0,1,1,0,0,0,0,1,6
1438,6406_3_3,1,1,0,0,0,1,0,1,0,8
1439,30_7_3,0,0,0,0,0,0,0,0,1,2
1440,15_9_19_S,0,0,0,0,1,0,0,0,0,2
1441,33_12_1,0,0,1,0,1,0,1,0,1,8
1442,15_9_19BT2,0,0,0,0,0,0,1,0,0,2
1443,30_6_20,0,0,0,0,0,0,0,0,1,2
1444,6407_9_6,0,0,0,0,1,0,1,0,0,4
1445,7_9_1,0,0,0,0,0,0,0,0,1,2
1446,25_5_5,0,0,1,0,1,0,1,0,1,8
1447,34_7_29_S,0,0,0,0,0,0,1,0,0,2
1448,6507_5_2,0,0,0,0,0,0,1,0,0,2
1449,6507_11_X_2,0,0,0,0,0,0,1,0,0,2
1450,15_12_8,0,0,1,0,1,0,0,0,1,6
1451,7_11_6,0,0,0,0,1,0,1,0,1,6
1452,15_12_A_11,0,0,0,0,0,0,1,0,0,2
1453,7219_12_2,0,0,1,0,0,0,0,0,0,2
1454,6607_12_2,0,0,1,0,0,0,0,0,0,2
1455,25_8_16,0,0,1,0,0,0,0,0,1,4
1456,7_12_6,0,0,0,0,0,0,0,0,1,2
1457,15_12_6_S,0,0,0,0,1,0,1,0,0,4
1458,15_9_22,0,0,0,1,0,0,0,0,1,4
1459,6507_07_13,0,0,1,0,0,0,0,0,0,2
1460,24_6_4,0,0,1,0,0,0,0,0,1,4
1461,7220_5_3,0,0,1,0,0,0,0,0,0,2
1462,30_3_7,0,0,1,0,0,0,0,0,1,4
1463,15_8_1,0,0,1,0,1,0,0,0,1,6
1464,25_4_10,0,0,1,0,0,0,0,0,1,4
1465,16_2_4,0,0,1,0,0,0,1,0,1,6
1466,9_2_7,0,0,1,0,0,0,0,0,1,4
1467,26_4_2,0,0,0,0,0,0,0,0,1,2
1468,2_9_2,0,0,0,0,1,0,0,0,0,2
1469,25_10_06,0,0,0,0,1,0,0,0,0,2
1470,7223_5_1,0,0,0,0,0,0,1,0,0,2
1471,16_1_14,0,0,1,0,0,0,1,0,1,6
1472,6507_6_4,0,0,0,0,0,0,1,0,0,2
1473,7228_2_1_S,0,0,0,0,0,0,1,0,0,2
1474,24_9_15,0,0,1,0,0,0,0,0,0,2
1475,25_4_6,0,0,1,0,1,0,0,0,1,6
1476,31_5_B_4H,0,0,0,0,0,0,1,0,0,2
1477,7121_1_1_R,0,0,0,0,0,0,1,0,0,2
1478,7128_4_1,0,0,1,0,0,0,1,0,0,4
1479,15_12_A_14,0,0,0,0,0,0,1,0,0,2
1480,25_8_5,0,0,1,1,1,0,0,0,1,8
1481,15_9_10,0,0,0,0,1,0,1,0,1,6
1482,34_8_14S,0,0,0,0,0,0,1,0,0,2
1483,25_11_12,0,0,0,0,0,0,0,0,1,2
1484,25_6_3,0,0,0,1,0,0,1,0,1,6
1485,25_7_4,0,0,0,0,0,0,0,0,1,2
1486,31_4_A_30,0,0,1,0,0,0,0,0,0,2
1487,1_3_11,0,0,1,0,0,0,1,0,0,4
1488,6201_11_2,0,0,0,0,0,0,0,0,1,2
1489,6407_01_07,0,0,1,0,0,0,0,0,0,2
1490,25_2_7,0,0,0,1,1,0,1,0,1,8
1491,35_3_7,0,0,1,1,0,0,1,0,1,8
1492,6406_2_7,0,0,1,0,0,0,1,0,0,4
1493,17_10_1,0,0,0,0,0,0,0,0,1,2
1494,34_10_43,0,0,1,0,0,0,0,0,1,4
1495,34_2_3,0,0,0,0,1,0,1,0,1,6
1496,2_8_A_29,0,0,0,0,0,0,1,0,0,2
1497,34_10_6,0,0,0,0,0,0,0,0,1,2
1498,31_4_9,0,0,0,0,0,0,1,0,1,4
1499,30_9_12a,0,0,0,0,0,0,1,0,0,2
