,WellName,unique_core_descriptions.csv,unique_core_photos.csv,unique_discovery.csv,unique_GEOLINK.csv,unique_Norwegian_shows_v2.csv,unique_public_core_images_excel_recording.csv,unique_RealLogs_Por_Perm.csv,unique_RealLogs_completion.csv,unique_stratigraphic_picks.csv,Occurances
1391,34_8_7,0,0,1,1,0,0,1,0,1,4
1392,6610_2_1,0,0,0,0,1,0,0,0,0,1
1393,34_11_2,0,0,1,1,0,0,0,0,1,3
1394,16_2_14,0,0,0,0,0,0,1,0,1,2
1395,24_9_7,0,0,0,0,0,0,1,0,1,2
1396,6406_12_1S,0,0,0,0,0,0,1,0,0,1
1397,34_10_22,0,0,0,0,0,0,0,0,1,1
1398,7220_5_3,0,0,1,0,0,0,0,0,0,1
1399,30_6_19,0,0,1,1,0,0,1,0,1,4
1400,6507_10_2,0,0,1,0,0,0,1,0,0,2
1401,7226_2_1,0,0,1,0,0,0,1,0,0,2
1402,6608_11_1,1,0,0,0,0,0,0,0,0,1
1403,6306_10_1,0,0,0,0,1,0,1,0,0,2
1404,6507_12_3,0,0,0,0,1,0,1,0,0,2
1405,15_12_11S,0,0,0,0,0,0,1,0,0,1
1406,34_8_4A,0,0,0,0,0,0,1,0,0,1
1407,2_11_4,0,0,0,0,0,0,1,0,0,1
1408,25_11_2,0,0,0,0,0,0,0,0,1,1
1409,34_10_14,0,0,0,0,0,0,1,0,1,2
1410,6506_12_7,1,1,0,0,1,1,0,1,0,5
1411,15_9_A_23_A,0,0,0,0,0,0,1,0,0,1
1412,7219_12_2,0,0,1,0,0,0,0,0,0,1
1413,31_8_1,0,0,0,0,0,0,0,0,1,1
1414,31_5_5,0,0,0,1,0,0,0,0,1,2
1415,34_10_B_21,0,0,0,0,0,0,1,0,0,1
1416,30_9_19_A,0,0,0,0,0,0,1,0,0,1
1417,7_12_4,0,0,0,0,0,0,1,0,1,2
1418,15_5_3,0,0,0,0,1,0,0,0,1,2
1419,35_9_9,0,0,0,1,0,0,0,0,1,2
1420,6506_12_R_4,0,0,0,0,0,0,1,0,0,1
1421,7220_11_1,0,0,1,0,0,0,1,0,0,2
1422,15_3_3,0,0,0,0,1,0,1,0,1,3
1423,25_8_9,0,0,1,1,1,0,1,0,1,5
1424,31_4_A_4,0,0,0,0,0,0,1,0,0,1
1425,16_8_3,0,0,0,0,0,0,0,0,1,1
1426,31_2_1,0,0,1,1,1,0,1,0,1,5
1427,6204_11_01,0,0,1,0,1,0,0,0,0,2
1428,6507_11_9,0,0,1,0,0,0,1,0,0,2
1429,34_4_12,0,0,1,0,0,0,1,0,1,3
1430,34_10_47,0,0,1,0,0,0,0,0,1,2
1431,6407_7_9,0,0,1,0,0,0,1,0,0,2
1432,6607_5_1,0,0,0,0,1,0,1,0,0,2
1433,6706_11_1,0,0,0,0,1,0,1,0,0,2
1434,34_7_I_1_H,0,0,0,0,0,0,1,0,0,1
1435,34_8_17,0,0,1,0,0,0,0,0,1,2
1436,25_4_5,0,0,0,1,1,0,0,0,1,3
1437,6406_2_3_T,0,0,0,0,0,0,1,0,0,1
1438,2_7_B_5B,0,0,0,0,0,0,1,0,0,1
1439,35_8_4,0,0,0,1,0,0,0,0,1,2
1440,31_2_G_4H,0,0,0,0,0,0,1,0,0,1
1441,34_7_12,0,0,1,1,0,0,1,0,1,4
1442,30_6_C_06,0,0,0,0,0,0,1,0,0,1
1443,25_4_7,0,0,1,0,0,0,1,0,1,3
1444,35_11_10,0,0,0,1,1,0,1,0,1,4
1445,30_6_24,0,0,0,0,0,0,0,0,1,1
1446,31_3_4,0,0,0,1,0,0,1,0,1,3
1447,35_6_1,0,0,0,0,0,0,0,0,1,1
1448,6507_7_A_22,0,0,0,0,0,0,1,0,0,1
1449,25_1_7,0,0,0,0,0,0,0,0,1,1
1450,31_6_3,0,0,0,0,0,0,0,0,1,1
1451,25_2_4,0,0,1,0,1,0,0,0,1,3
1452,6505_10_1,0,0,0,0,0,1,1,1,0,3
1453,34_7_17,0,0,0,0,0,0,0,0,1,1
1454,7220_8_1,0,0,1,0,0,0,1,0,0,2
1455,9_3_2,0,0,0,0,0,0,0,0,1,1
1456,15_12_3,0,0,0,0,1,0,1,0,1,3
1457,6204_10_2A,0,0,0,0,0,0,1,0,0,1
1458,15_6_13,0,0,1,0,0,0,1,0,1,3
1459,7_12_A16,0,0,0,0,0,0,1,0,0,1
1460,1_3_12,0,0,0,0,0,0,1,0,0,1
1461,2_7_27,0,0,0,0,1,0,0,0,0,1
1462,15_9_2,0,0,0,1,1,0,0,0,1,3
1463,1_3_11,0,0,1,0,0,0,1,0,0,2
1464,7125_1_1,0,0,1,0,0,0,0,0,0,1
1465,15_12_5,0,0,0,0,1,0,1,0,1,3
1466,6406_6_6,0,0,1,0,0,0,0,0,0,1
1467,3_7_6,0,0,0,0,0,0,1,0,0,1
1468,16_1_16,0,0,0,0,0,0,1,0,1,2
1469,6506_12_N_1,0,0,0,0,0,0,1,0,0,1
1470,6507_3_12,0,0,1,0,0,0,0,0,0,1
1471,17_10_1,0,0,0,0,0,0,0,0,1,1
1472,15_12_24,0,0,0,0,0,0,0,0,1,1
1473,7_12_8,0,0,0,0,0,0,1,0,1,2
1474,6506_11_2,0,0,1,0,1,0,1,0,0,3
1475,15_9_19S,0,0,0,0,0,0,1,0,0,1
1476,2_8_9,0,0,0,0,0,0,1,0,0,1
1477,30_9_25,0,0,0,0,0,0,1,0,1,2
1478,30_9_B49H,0,0,0,0,0,0,1,0,0,1
1479,30_9_21,0,0,1,0,0,0,1,0,1,3
1480,34_10_16,0,0,0,1,0,0,1,0,1,3
1481,35_11_12,0,0,0,1,0,0,1,0,1,3
1482,6305_8_A_2,0,0,0,0,0,0,1,0,0,1
