prfInformationCarrier,prfYear,prfMonth,prfPrdOilNetMillSm3,prfPrdGasNetBillSm3,prfPrdNGLNetMillSm3,prfPrdCondensateNetMillSm3,prfPrdOeNetMillSm3,prfPrdProducedWaterInFieldMillSm3,prfNpdidInformationCarrier
ALBUSKJELL,1994,1,0.00741,0.02423,0.00268,0.00000,0.03432,0.00000,43437
ALBUSKJELL,1994,2,0.00678,0.02193,0.00248,0.00000,0.03119,0.00000,43437
ALBUSKJELL,1994,3,0.00712,0.02369,0.00265,0.00000,0.03346,0.00000,43437
ALBUSKJELL,1994,4,0.00707,0.02262,0.00246,0.00000,0.03214,0.00000,43437
ALBUSKJELL,1994,5,0.00704,0.02367,0.00247,0.00000,0.03317,0.00000,43437
ALBUSKJELL,1994,6,0.00674,0.02116,0.00225,0.00000,0.03015,0.00000,43437
ALBUSKJELL,1994,7,0.00687,0.02163,0.00195,0.00000,0.03045,0.00000,43437
ALBUSKJELL,1994,8,0.00542,0.01594,0.00141,0.00000,0.02276,0.00000,43437
ALBUSKJELL,1994,9,0.00641,0.02265,0.00228,0.00000,0.03134,0.00000,43437
ALBUSKJELL,1994,10,0.00645,0.02308,0.00236,0.00000,0.03190,0.00000,43437
ALBUSKJELL,1994,11,0.00713,0.02144,0.00237,0.00000,0.03094,0.00000,43437
ALBUSKJELL,1994,12,0.00658,0.02180,0.00232,0.00000,0.03070,0.00000,43437
ALBUSKJELL,1995,1,0.00655,0.02049,0.00229,0.00000,0.02933,0.00000,43437
ALBUSKJELL,1995,2,0.00597,0.01908,0.00213,0.00000,0.02717,0.00000,43437
ALBUSKJELL,1995,3,0.00649,0.02089,0.00230,0.00000,0.02968,0.00000,43437
ALBUSKJELL,1995,4,0.00623,0.01991,0.00221,0.00000,0.02836,0.00000,43437
ALBUSKJELL,1995,5,0.00630,0.01970,0.00222,0.00000,0.02822,0.00000,43437
ALBUSKJELL,1995,6,0.00596,0.01758,0.00186,0.00000,0.02540,0.00000,43437
ALBUSKJELL,1995,7,0.00602,0.01849,0.00198,0.00000,0.02649,0.00000,43437
ALBUSKJELL,1995,8,0.00663,0.02124,0.00219,0.00000,0.03006,0.00000,43437
ALBUSKJELL,1995,9,0.00609,0.01939,0.00202,0.00000,0.02750,0.00000,43437
ALBUSKJELL,1995,10,0.00660,0.02021,0.00137,0.00000,0.02818,0.00000,43437
ALBUSKJELL,1995,11,0.00597,0.01942,0.00176,0.00000,0.02715,0.00000,43437
ALBUSKJELL,1995,12,0.00508,0.01979,0.00215,0.00000,0.02702,0.00000,43437
ALBUSKJELL,1996,1,0.00471,0.01915,0.00209,0.00000,0.02594,0.00000,43437
ALBUSKJELL,1996,2,0.00461,0.01714,0.00157,0.00000,0.02332,0.00000,43437
ALBUSKJELL,1996,3,0.00467,0.01980,0.00187,0.00000,0.02633,0.00000,43437
ALBUSKJELL,1996,4,0.00435,0.01937,0.00192,0.00000,0.02564,0.00000,43437
ALBUSKJELL,1996,5,0.00433,0.01986,0.00163,0.00000,0.02582,0.00000,43437
ALBUSKJELL,1996,6,0.00394,0.01701,0.00145,0.00000,0.02240,0.00000,43437
ALBUSKJELL,1996,7,0.00487,0.01834,0.00180,0.00000,0.02501,0.00000,43437
ALBUSKJELL,1996,8,0.00474,0.01888,0.00193,0.00000,0.02555,0.00000,43437
ALBUSKJELL,1996,9,0.00499,0.01791,0.00184,0.00000,0.02474,0.00000,43437
ALBUSKJELL,1996,10,0.00471,0.01786,0.00180,0.00000,0.02437,0.00000,43437
ALBUSKJELL,1996,11,0.00428,0.01558,0.00156,0.00000,0.02142,0.00000,43437
ALBUSKJELL,1996,12,0.00416,0.01668,0.00159,0.00000,0.02243,0.00000,43437
ALBUSKJELL,1997,1,0.00334,0.01180,0.00124,0.00000,0.01638,0.00000,43437
ALBUSKJELL,1997,2,0.00366,0.01370,0.00146,0.00000,0.01882,0.00000,43437
ALBUSKJELL,1997,3,0.00414,0.01713,0.00169,0.00000,0.02296,0.00000,43437
ALBUSKJELL,1997,4,0.00393,0.01559,0.00164,0.00000,0.02117,0.00000,43437
ALBUSKJELL,1997,5,0.00367,0.01589,0.00156,0.00000,0.02111,0.00000,43437
ALBUSKJELL,1997,6,0.00335,0.01598,0.00148,0.00000,0.02081,0.00000,43437
ALBUSKJELL,1997,7,0.00358,0.01550,0.00154,0.00000,0.02062,0.00000,43437
ALBUSKJELL,1997,8,0.00420,0.01879,0.00200,0.00000,0.02498,0.00000,43437
ALBUSKJELL,1997,9,0.00510,0.01678,0.00180,0.00000,0.02368,0.00000,43437
ALBUSKJELL,1997,10,0.00361,0.01770,0.00190,0.00000,0.02321,0.00000,43437
ALBUSKJELL,1997,11,0.00354,0.01618,0.00185,0.00000,0.02156,0.00000,43437
ALBUSKJELL,1997,12,0.00403,0.01667,0.00189,0.00000,0.02259,0.00000,43437
ALBUSKJELL,1998,1,0.00398,0.01650,0.00199,0.00000,0.02246,0.00000,43437
ALBUSKJELL,1998,2,0.00393,0.01457,0.00152,0.00000,0.02002,0.00000,43437
ALBUSKJELL,1998,3,0.00446,0.01548,0.00159,0.00000,0.02152,0.00000,43437
ALBUSKJELL,1998,4,0.00429,0.01416,0.00171,0.00000,0.02017,0.00000,43437
ALBUSKJELL,1998,5,0.00443,0.01437,0.00157,0.00000,0.02037,0.00000,43437
ALBUSKJELL,1998,6,0.00427,0.01487,0.00167,0.00000,0.02081,0.00000,43437
ALBUSKJELL,1998,7,0.00419,0.01569,0.00155,0.00000,0.02143,0.00000,43437
ALVE,2009,1,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,4444332
ALVE,2009,2,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,4444332
ALVE,2009,3,0.01051,0.03580,0.01265,0.00000,0.05896,0.00018,4444332
ALVE,2009,4,0.02998,0.10273,0.03679,0.00000,0.16950,0.00058,4444332
ALVE,2009,5,0.03052,0.10547,0.03807,0.00000,0.17406,0.00046,4444332
ALVE,2009,6,0.03064,0.10628,0.03774,0.00000,0.17466,0.00092,4444332

