dscName,cmpLongName,dscCurrentActivityStatus,dscHcType,wlbName,nmaName,fldName,dscDateFromInclInField,dscDiscoveryYear,dscResInclInDiscoveryName,dscOwnerKind,dscOwnerName,dscNpdidDiscovery,fldNpdidField,wlbNpdidWellbore,dscFactPageUrl,dscFactMapUrl,dscDateUpdated,dscDateUpdatedMax,DatesyncNPD
5604/22 (Lulita),,Production is unlikely,,?,,,,1991,,,,48247,,0,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=48247,https://factmaps.npd.no/factmaps/3_0/?run=DiscoveryByNPDID&NPDID=48247,03.10.2019,,24.01.2020
6/3-1 PI,A/S Norske Shell,Shut down,OIL/GAS,6/3-1,North Sea,GAUPE,25.06.2010,1985,,PRODUCTION LICENSE,292,44804,18161341,450,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=44804,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=18161341,03.10.2019,03.10.2019,24.01.2020
6201/11-1,Petrolia NOCO AS,Production is unlikely,OIL,6201/11-1,Norwegian Sea,,,1987,,PRODUCTION LICENSE,933,44810,,1134,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=44810,https://factmaps.npd.no/factmaps/3_0/?run=DiscoveryByNPDID&NPDID=44810,03.10.2019,03.10.2019,24.01.2020
6201/11-3 R (Albert),Petrolia NOCO AS,Production is unlikely,OIL,6201/11-3 R,Norwegian Sea,,,2012,,PRODUCTION LICENSE,933,22492626,,7110,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=22492626,https://factmaps.npd.no/factmaps/3_0/?run=DiscoveryByNPDID&NPDID=22492626,03.10.2019,03.10.2019,24.01.2020
6204/10-2,Equinor Energy AS,Production is unlikely,GAS,6204/10-2 R,Norwegian Sea,,,1997,,PRODUCTION LICENSE,829,45664,,3258,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=45664,https://factmaps.npd.no/factmaps/3_0/?run=DiscoveryByNPDID&NPDID=45664,03.10.2019,05.12.2019,24.01.2020
6204/11-1,Equinor Energy AS,Production is unlikely,GAS,6204/11-1,Norwegian Sea,,,1994,,PRODUCTION LICENSE,829,44816,,2205,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=44816,https://factmaps.npd.no/factmaps/3_0/?run=DiscoveryByNPDID&NPDID=44816,03.10.2019,05.12.2019,24.01.2020
6302/6-1 (Tulipan),,Production is unlikely,GAS,6302/6-1,Norwegian Sea,,,2005,,,,3505670,,5086,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=3505670,https://factmaps.npd.no/factmaps/3_0/?run=DiscoveryByNPDID&NPDID=3505670,03.10.2019,03.10.2019,24.01.2020
6305/5-1 Ormen lange,A/S Norske Shell,Producing,GAS,6305/5-1,Norwegian Sea,ORMEN LANGE,02.04.2004,1997,,BUSINESS ARRANGEMENT AREA,ORMEN LANGE UNIT,44822,2762452,3144,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=44822,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=2762452,03.10.2019,11.12.2019,24.01.2020
6306/5-1,Neptune Energy Norge AS,Production is unlikely,GAS,6306/5-1,Norwegian Sea,,,1997,,PRODUCTION LICENSE,936,44828,,3060,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=44828,https://factmaps.npd.no/factmaps/3_0/?run=DiscoveryByNPDID&NPDID=44828,03.10.2019,03.10.2019,24.01.2020
6405/10-1 (Midnattsol),A/S Norske Shell,Production is unlikely,GAS,6405/10-1,Norwegian Sea,,,2007,,PRODUCTION LICENSE,832,4527324,,5565,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=4527324,https://factmaps.npd.no/factmaps/3_0/?run=DiscoveryByNPDID&NPDID=4527324,03.10.2019,18.11.2019,24.01.2020
6405/7-1 (Ellida),Aker BP ASA,Production is unlikely,OIL,6405/7-1,Norwegian Sea,,,2003,,PRODUCTION LICENSE,1005,2472532,,4749,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=2472532,https://factmaps.npd.no/factmaps/3_0/?run=DiscoveryByNPDID&NPDID=2472532,03.10.2019,03.10.2019,24.01.2020
6406/1-1 (Erlend Nord),Equinor Energy AS,Production is unlikely,GAS/CONDENSATE,6406/1-1,Norwegian Sea,,,2001,,PRODUCTION LICENSE,257,1630215,,4262,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=1630215,https://factmaps.npd.no/factmaps/3_0/?run=DiscoveryByNPDID&NPDID=1630215,03.10.2019,12.12.2019,24.01.2020
6406/11-1 S,Neptune Energy Norge AS,Production is unlikely,OIL,6406/11-1 S,Norwegian Sea,,,1991,,PRODUCTION LICENSE,586,45707,,1539,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=45707,https://factmaps.npd.no/factmaps/3_0/?run=DiscoveryByNPDID&NPDID=45707,03.10.2019,03.01.2020,24.01.2020
6406/1-2 (Sklinna),Equinor Energy AS,Production is unlikely,GAS/CONDENSATE,6406/1-2,Norwegian Sea,,,2003,,PRODUCTION LICENSE,1006,2455593,,4762,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=2455593,https://factmaps.npd.no/factmaps/3_0/?run=DiscoveryByNPDID&NPDID=2455593,03.10.2019,03.01.2020,24.01.2020
6406/12-3 A (Bue),Neptune Energy Norge AS,Included in other discovery,OIL,6406/12-3 A,Norwegian Sea,FENJA,05.04.2018,2014,6406/12-3 S Fenja,PRODUCTION LICENSE,586,24689696,31164879,7432,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=24689696,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=31164879,03.10.2019,03.01.2020,24.01.2020
6406/12-3 S Fenja,Neptune Energy Norge AS,Approved for production,OIL/GAS,6406/12-3 S,Norwegian Sea,FENJA,05.04.2018,2014,,PRODUCTION LICENSE,586,24617697,31164879,7322,https://factpages.npd.no/factpages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=24617697,https://factmaps.npd.no/factmaps/3_0/?run=FieldByNPDID&NPDID=31164879,03.10.2019,03.01.2020,24.01.2020
