cmpLongName,fldName,cmpRemainingOil,cmpRemainingGas,cmpRemainingNGL,cmpRemainingCondensate,cmpRemainingOE,cmpDateOffResEstDisplay,cmpShare,fldNpdidField,cmpNpdidCompany,DatesyncNPD
Equinor Energy AS,AASTA HANSTEEN,0.00,27.72,0.00,0.31,28.03,31.12.2018,51.00000,23395946,32011216,24.01.2020
Idemitsu Petroleum Norge AS,BYRDING,0.12,0.10,0.01,0.00,0.24,31.12.2018,15.00000,28975067,441,24.01.2020
Idemitsu Petroleum Norge AS,DUVA,1.11,2.52,0.31,0.00,4.21,31.12.2018,30.00000,34833026,441,24.01.2020
Idemitsu Petroleum Norge AS,FRAM,1.10,1.70,0.18,0.00,3.13,31.12.2018,15.00000,1578840,441,24.01.2020
Idemitsu Petroleum Norge AS,FRAM H-NORD,0.03,0.00,0.00,0.00,0.03,31.12.2018,28.80000,23410947,441,24.01.2020
Idemitsu Petroleum Norge AS,KNARR,0.44,0.01,0.01,0.00,0.46,31.12.2018,25.00000,20460988,441,24.01.2020
Idemitsu Petroleum Norge AS,SNORRE,8.81,0.00,0.00,0.00,8.81,31.12.2018,9.60000,43718,441,24.01.2020
Idemitsu Petroleum Norge AS,STATFJORD ØST,0.01,0.00,0.00,0.00,0.01,31.12.2018,4.80000,43672,441,24.01.2020
Idemitsu Petroleum Norge AS,SYGNA,0.03,0.00,0.00,0.00,0.03,31.12.2018,4.32000,104718,441,24.01.2020
Idemitsu Petroleum Norge AS,TORDIS,0.42,0.05,0.02,0.00,0.50,31.12.2018,9.60000,43725,441,24.01.2020
Idemitsu Petroleum Norge AS,VEGA,0.10,0.42,0.15,0.00,0.79,31.12.2018,3.75000,4467595,441,24.01.2020
Idemitsu Petroleum Norge AS,VIGDIS,0.98,0.00,0.00,0.00,0.99,31.12.2018,9.60000,43732,441,24.01.2020
INEOS E&P Norge AS,ALVE,0.06,0.40,0.05,0.00,0.56,31.12.2018,15.00000,4444332,29805656,24.01.2020
INEOS E&P Norge AS,GYDA,0.00,0.00,0.00,0.00,0.00,31.12.2018,34.00000,43492,29805656,24.01.2020
INEOS E&P Norge AS,MARULK,0.04,0.62,0.06,0.00,0.76,31.12.2018,30.00000,18212090,29805656,24.01.2020
INEOS E&P Norge AS,ORMEN LANGE,0.00,13.89,0.00,0.66,14.55,31.12.2018,14.02080,2762452,29805656,24.01.2020
INEOS E&P Norge AS,TAMBAR ØST,0.00,0.00,0.00,0.00,0.00,31.12.2018,5.44000,4999528,29805656,24.01.2020
KUFPEC Norway AS,GINA KROG,3.36,3.61,0.62,0.00,8.15,31.12.2018,30.00000,23384544,23750622,24.01.2020
KUFPEC Norway AS,GUNGNE,0.01,0.06,0.01,0.00,0.08,31.12.2018,10.00000,43464,23750622,24.01.2020
KUFPEC Norway AS,GYDA,0.00,0.00,0.00,0.00,0.00,31.12.2018,5.00000,43492,23750622,24.01.2020
KUFPEC Norway AS,SLEIPNER VEST,0.21,0.98,0.07,0.00,1.33,31.12.2018,9.41120,43457,23750622,24.01.2020
KUFPEC Norway AS,SLEIPNER ØST,0.01,0.03,0.00,0.00,0.04,31.12.2018,10.00000,43478,23750622,24.01.2020
KUFPEC Norway AS,TAMBAR ØST,0.00,0.00,0.00,0.00,0.00,31.12.2018,0.80000,4999528,23750622,24.01.2020
KUFPEC Norway AS,UTGARD,0.17,0.19,0.05,0.00,0.46,31.12.2018,6.20000,28975098,23750622,24.01.2020
KUFPEC Norway AS,YME,1.02,0.00,0.00,0.00,1.02,31.12.2018,10.00000,43807,23750622,24.01.2020
LOTOS Exploration and Production Norge AS,ATLA,0.00,0.00,0.00,0.00,0.00,31.12.2018,20.00000,21106284,5064434,24.01.2020
LOTOS Exploration and Production Norge AS,FRØY,0.00,0.00,0.00,0.00,0.00,31.12.2018,9.74000,43597,5064434,24.01.2020
LOTOS Exploration and Production Norge AS,GUNGNE,0.02,0.08,0.01,0.00,0.12,31.12.2018,15.00000,43464,5064434,24.01.2020
LOTOS Exploration and Production Norge AS,HEIMDAL,0.00,0.00,0.00,0.00,0.00,31.12.2018,5.00000,43590,5064434,24.01.2020
LOTOS Exploration and Production Norge AS,LILLE-FRIGG,0.00,0.00,0.00,0.00,0.00,31.12.2018,20.00000,43583,5064434,24.01.2020
LOTOS Exploration and Production Norge AS,SKIRNE,0.01,0.07,0.00,0.00,0.08,31.12.2018,30.00000,2138816,5064434,24.01.2020
LOTOS Exploration and Production Norge AS,SLEIPNER VEST,0.34,1.57,0.11,0.00,2.11,31.12.2018,15.00000,43457,5064434,24.01.2020
LOTOS Exploration and Production Norge AS,SLEIPNER ØST,0.01,0.04,0.00,0.00,0.06,31.12.2018,15.00000,43478,5064434,24.01.2020
LOTOS Exploration and Production Norge AS,UTGARD,0.47,0.53,0.15,0.00,1.28,31.12.2018,17.36000,28975098,5064434,24.01.2020
LOTOS Exploration and Production Norge AS,VALE,0.10,0.14,0.00,0.00,0.23,31.12.2018,25.75700,1578893,5064434,24.01.2020
LOTOS Exploration and Production Norge AS,YME,2.03,0.00,0.00,0.00,2.03,31.12.2018,20.00000,43807,5064434,24.01.2020
LOTOS Exploration and Production Norge AS,ØST FRIGG,0.00,0.00,0.00,0.00,0.00,31.12.2018,20.00000,43576,5064434,24.01.2020
Lundin Norway AS,ALVHEIM,1.61,0.77,0.00,0.00,2.38,31.12.2018,15.00000,2845712,2767314,24.01.2020
Lundin Norway AS,BRYNHILD,0.00,0.00,0.00,0.00,0.00,31.12.2018,51.00000,21123063,2767314,24.01.2020
Lundin Norway AS,BØYLA,0.12,0.00,0.00,0.00,0.12,31.12.2018,15.00000,22492497,2767314,24.01.2020
Lundin Norway AS,EDVARD GRIEG,16.35,1.51,0.45,0.00,18.71,31.12.2018,65.00000,21675433,2767314,24.01.2020
Lundin Norway AS,GAUPE,0.00,0.00,0.00,0.00,0.00,31.12.2018,40.00000,18161341,2767314,24.01.2020
